Заголовок,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Текст новости,Обложка на странице новости (размер: 1695-600px),Превью,С картинкой?,Дата
1 июня – День защиты детей.,1-iyunya-den-zashchity-detey,63e507244eda1e67644c7cf5,64772255249330c9bcc58ab8,Wed May 31 2023 10:32:53 GMT+0000 (Coordinated Universal Time),Wed May 31 2023 10:32:53 GMT+0000 (Coordinated Universal Time),Wed May 31 2023 10:42:17 GMT+0000 (Coordinated Universal Time),"<p id=""""><strong id="""">1 июня – День защиты детей.</strong></p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id="""">12.00 – Путешествие по музейным дорожкам &nbsp; 6+</strong></p><p id=""""><strong id="""">&nbsp;</strong></p><p id="""">Игровая программа проводится в парке музея - заповедника П.И. Чайковского.&nbsp; Дети познакомятся с историей поселения композитора в Клину. Школьникам помогут разобраться, что такое ледник, флигель, каретный сарай. Научат играть в старинные игры: болото, серсо и городки. Ребятам предстоит выполнить увлекательные задания, сложить из букв слово-подсказку, чтобы получить приз.</p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id="""">14.00 – Фоторамка своими руками &nbsp; 6+</strong></p><p id=""""><strong id="""">&nbsp;</strong></p><p id="""">Под руководством музейных специалистов дети самостоятельно изготовят фоторамку, декорированную в технике парчмент крафт. Фоторамка станет хорошим подарком родным и друзьям или сувениром на память.</p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id=""""><em id="""">Предварительная запись по телефонам:&nbsp; +7 (49624) 2-10-50, +7-915-110-43-38</em></strong></p><p id=""""><br></p><p>‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6477219a1c8570b22615ec67_Group%2028045.webp,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64772224ffaac4bc160981be_1%D0%B8%D1%8E%D0%BD%D1%8F.webp,false,Wed May 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
"14 выпуск издания ""#конкурентTEAM. Люди. Бизнес. Технологии"" ",14-vypusk-izdaniya-konkurentteam-lyudi-biznes-tehnologii,63e507244eda1e67644c7cf5,64c0d60b4aa4f4832e161116,Wed Jul 26 2023 08:15:07 GMT+0000 (Coordinated Universal Time),Wed Jul 26 2023 08:25:02 GMT+0000 (Coordinated Universal Time),Wed Jul 26 2023 08:25:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Комитетом по конкурентной политике Московской области подготовлен 14 выпуск издания «#конкуренTEAM. Люди. Бизнес. Технологии». Главные темы выпуска: инновации в сферах экономики и бизнеса. </p><p id="""">Ознакомиться со всеми выпусками журнала #конкуренTEAM можно на официальном сайте <a href=""https://zakaz-mo.mosreg.ru/sobytiya/elektronnyi-zhurnal-konkurenteam-lyudi-biznes-tekhnologii"">Комитета по конкурентной политике Московской области</a></p><p id="""">‍</p><p id=""""><a href=""https://drive.google.com/file/d/1qx9FVhBHT_fl74UMuJecDgU1GHqgYS53/view?usp=sharing"" id="""">14 Выпуск</a></p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64c0d6fe5d535463b80eba5e_%D0%B6%D1%83%D1%80%D0%BD%D0%B0%D0%BB.png,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64c0d6fe5d535463b80eba5e_%D0%B6%D1%83%D1%80%D0%BD%D0%B0%D0%BB.png,false,
15 ноября Общее собрание Союза музеев России в Санкт Петербурге,15-noyabrya-obshchee-sobranie-soyuza-muzeev-rossii,63e507244eda1e67644c7cf5,65548afaad9395d0b0c25962,Wed Nov 15 2023 09:10:18 GMT+0000 (Coordinated Universal Time),Wed Nov 15 2023 11:36:32 GMT+0000 (Coordinated Universal Time),Wed Nov 15 2023 11:36:32 GMT+0000 (Coordinated Universal Time),"<p>На <strong id=""""><em id="""">Общем собрании Союза музеев России </em></strong>сегодня в Эрмитажном театре рассматривается ряд актуальных вопросов и проблем музыкального сообщества. <em id="""">Наш музей представляют: директор музея-заповедника И. Корнилов, заместитель директора по научной работе Г. Белонович и заместитель директора по основной деятельности Д. Мельниченко.</em></p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6554ad360fe3c25fbfa01ac9_photo_5377671037870789064_y.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6554aacd386c4e53f3b22b1d_photo_5377671037870789066_y.jpg,true,Wed Nov 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
21 декабря исполняется 129 лет со дня рождения Музея,21-dekabrya-ispolnyaetsya-129-let-so-dnya-rozhdeniya-muzeya,63e507244eda1e67644c7cf5,658187e27e417570de03ad90,Tue Dec 19 2023 12:09:06 GMT+0000 (Coordinated Universal Time),Tue Dec 19 2023 14:12:21 GMT+0000 (Coordinated Universal Time),Tue Dec 19 2023 14:12:21 GMT+0000 (Coordinated Universal Time),"<h4 id=""""><strong id="""">129 лет Государственному мемориальному музыкальному музею-заповеднику П. И. Чайковского</strong></h4><p id="""">‍</p><p id="""">Музей-заповедник П.И. Чайковского в Клину является первым в России мемориальным музыкальным музеем, центром сохранения, изучения и популяризации творческого наследия великого композитора. Созданный в 1894 году, музей представлял собой новый для России тип музея – музыкально-мемориальный, в котором полностью сохранена не только бытовая обстановка последних лет жизни композитора, но и его архив – ценнейшее музыкальное и литературное наследие, библиотека.</p><p id="""">Создателем музея был младший брат композитора – Модест Ильич Чайковский, осуществивший свой замысел с помощью В.Л. Давыдова – племянника и наследника авторских прав Чайковского, и слуги композитора - А.И. Софронова, который наследовал его имущество. М.И. Чайковский сыграл исключительную роль в деле увековечения памяти великого музыканта и как создатель музея, ставшего первым в России музыкальным мемориальным музеем, и как составитель первой биографии Чайковского, и как организатор концертов в пользу «фонда Чайковского». М.И. Чайковский заложил все направления деятельности музея: сохранение, собирание, научная работа и популяризация наследия композитора.</p><p>‍</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6581a4b604ce790ea0677a91_Image00001.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div></figure><h4 id=""""><strong id="""">Программа мероприятий 21 декабря:</strong></h4><p id="""">12.00 - посещение некрополей Чайковских и Танеевых на Демьяновском кладбище с возложением цветов на могилы</p><p id="""">16.00 - Обзорная экскурсия по мемориальному комплексу (сборная)</p><p id="""">В течение дня можно пройти квесты ""Все искусства в гости к нам"" для семейной аудитории, ""Ключ к успеху"" для взрослых, ""Кто украл меч Орлеанской девы?"" - по выставке ""П. И. Чайковский. Симфония ""Жизнь"", ""Let's go to the park"" - по парку. </p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65818775f66cbf6618767d2e_IMG_9908.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6581a45b14ebe86158559101_1175.jpg,false,Tue Dec 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
22 ноября в 18:00 public-talk с директором И. Корниловым,22-noyabrya-v-18-00-public-talk-s-direktorom-i-kornilovym,63e507244eda1e67644c7cf5,6554ca2fee12847a874caf2f,Wed Nov 15 2023 13:39:59 GMT+0000 (Coordinated Universal Time),Wed Nov 22 2023 18:33:13 GMT+0000 (Coordinated Universal Time),Wed Nov 22 2023 18:33:13 GMT+0000 (Coordinated Universal Time),"<p id=""""><strong id="""">22 ноября в 18:00</strong> в павильоне компании Газпром на выставке-форуме «Россия», которая проходит в эти дни на ВДНХ, состоялся public-talk с директором музея-заповедника П. И. Чайковского Игорем Корниловым. </p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/655e3858c46d1a86f084a1fa_%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%20%D0%BE%D1%82%202023-11-22%2019-418-05-fotor-2023112219467.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div></figure><p id="""">""ВЫ бываете в музеях?<br>ВЫ любите &nbsp;музеи?<br>Зачем существуют музеи?""</p><p id="""">Именно так началась беседа с директором музея-заповедника П. И. Чайковского Игорем Корниловым. Музеи – это особое пространство, где история и культура оживают перед нашими глазами. Они являются не только хранилищем ценных экспонатов, но и местом, где мы можем познакомиться с разными эпохами, культурами и идеями. Ведь каждый музей имеет свою уникальную коллекцию, которая отражает определенный аспект нашей истории или культурного наследия.В течение полутора часов Игорь Петрович провел увлекательную беседу, в ходе которой обсудили различные типы музеев, формы их работы, а также роль выставок и просветительской работы в современном обществе. Вспомнили о том как и кто создавал наш музей, и на сколько важно сохранять преемственность в коллективе. </p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6554c9fcdefabc7dc5955514_d4897df3d28d3718b43adfb1399e473e.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6554c9fcdefabc7dc5955514_d4897df3d28d3718b43adfb1399e473e.jpg,true,Wed Nov 22 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
23.06 – 02.07.2023 IX Международный фестиваль искусств П. И. Чайковского,23-06-02-07-2023-ix-mezhdunarodnyy-festival-iskusstv-p-i-chaykovskogo,63e507244eda1e67644c7cf5,6493f17871fbb5f23867ba59,Thu Jun 22 2023 07:00:08 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 07:00:08 GMT+0000 (Coordinated Universal Time),Thu Jun 22 2023 07:02:55 GMT+0000 (Coordinated Universal Time),"<p id=""""><strong id="""">УВАЖАЕМЫЕ ГОСТИ!</strong></p><p>‍</p><p id="""">Концерты</p><p id="""">Международного фестиваля искусств П.И. Чайковского</p><p id="""">проводятся в формате <strong id="""">OPEN-AIR</strong></p><p id="""">(на открытой площадке в парке музея-заповедника)</p><p id=""""><strong id="""">в любую погоду.</strong></p><h5 id=""""><strong id="""">&nbsp;</strong></h5><h5 id="""">Пожалуйста, одевайтесь по погоде, позаботьтесь о дождевиках и пледах.</h5><h5 id="""">Зонты над головой постарайтесь не открывать, чтобы не загораживать обзор зрителям, которые&nbsp; сидят за вами.</h5><p>‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6493f0f5eaf0cb93c01c7f0a_photo_2023-06-22_09-53-16.webp,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6493f0f30b8c7fdabe832020_Frame%2040303.webp,false,Thu Jun 22 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
Балету «Щелкунчик» исполнилось 130 лет,baletu-shchelkunchik-ispolnilos-130-let,63e507244eda1e67644c7cf5,63e637e117eeea29b9fa07a3,Fri Feb 10 2023 12:26:09 GMT+0000 (Coordinated Universal Time),Thu Mar 02 2023 06:35:25 GMT+0000 (Coordinated Universal Time),Thu Mar 02 2023 06:41:36 GMT+0000 (Coordinated Universal Time),"<h4 id="""">Мировая премьера знаменитой постановки состоялась 18 декабря 1892 года в Мариинском театре.</h4><p id="""">‍</p><p id="""">Предлагаем вам подборку статей и сюжетов на тему создания и постановки балета.</p><p id=""""><a href=""http://www.tchaikov.ru/nutr.html"" id="""">Балет П.И. Чайковского «Щелкунчик»</a> — статья П.Е. Вайдман.</p><p id=""""><a href=""https://theblueprint.ru/culture/ballet/10-glavnyh-selkuncikov-v-istorii-baleta"" id="""">10 знаковых «Щелкунчиков»</a> — статья Анны Галайда.</p><p id=""""><a href=""https://tvzvezda.ru/news/202212162344-Dxlxb.html/player/"" id="""">Телеканал «Звезда» о балете «Щелкунчик»</a> — репортаж с участием директора музея Игоря Корнилова.</p><p id=""""><a href=""https://www.1tv.ru/shows/dobroe-utro/pro-kulturu/shelkunchiku-130-let-dobroe-utro-subbota-fragment-vypuska-ot-17-12-2022"" id="""">«Щелкунчику» — 130 лет! Доброе утро. Суббота.</a> &nbsp;— фрагмент выпуска от 17.12.2022 с участием заведующей экспозиционно-выставочным отделом музея Александрой Ушаковой.</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/63e637dbccb110021f7915e7_DSC_0261.webp,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/63eccb07b9c8ab9998ce8b6b_%D1%89%D0%B5%D0%BB%D0%BA%D1%83%D0%BD%D1%87%D0%B8%D0%BA.webp,false,Sat Dec 17 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
Близится Новый год...,blizitsya-novyy-god,63e507244eda1e67644c7cf5,65707e51ff52c85920f31bab,Wed Dec 06 2023 13:59:45 GMT+0000 (Coordinated Universal Time),Mon Dec 11 2023 09:53:26 GMT+0000 (Coordinated Universal Time),Mon Dec 11 2023 09:53:26 GMT+0000 (Coordinated Universal Time),"<p id="""">Дорогие друзья музея!</p><p id="""">‍</p><h2 id=""""><strong id=""""><sup id="""">Приближается самый волшебный праздник - Новый год! </sup></strong></h2><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65707ded0c70704c1f7c18a0_photo_5440866916081193089_y-fotor-20231206163737.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div><figcaption id="""">Все сотрудники музея-заповедника с нетерпением ждут этого замечательного времени, и уже начали украшать все залы, чтобы создать неповторимую новогоднюю атмосферу. Красочные гирлянды, яркие игрушки и блестящие новогодние украшения уже украшают каждый уголок музея, наполняя его волшебством и радостью. Гости музея смогут насладиться увлекательными сказочными экскурсиями, окунуться в мир чудес и удивительных историй, а также посетить новую выставку, посвященную сказке.Все это создаст незабываемую атмосферу праздника и подарит гостям незабываемые впечатления.</figcaption></figure><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65707dffea34adffc5b6393b_photo_5440866916081193061_y-fotor-2023120616367.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div></figure><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65707e11f58cb94f7af101c2_photo_5440866916081193058_y-fotor-20231206163458.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div></figure>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6576dc12271670c966bfc78c_photo_5440866916081193064_y.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6576dbbc925cfac8e444805d_photo_5449832531462575059_y.jpg,true,Wed Dec 06 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
Большой тур в честь 50-летия работы Владимира Федосеева художественным руководителем БСО откроется концертом в музее-заповеднике П. И. Чайковского,bolshoy-tur-v-chest-50-letiya-raboty-vladimira-fedoseeva-hudozhestvennym-rukovoditelem-bso-otkroetsya-koncertom-v-muzee-zapovednike-p-i-chaykovskogo,63e507244eda1e67644c7cf5,65ab7f920650b3f808326742,Sat Jan 20 2024 08:08:50 GMT+0000 (Coordinated Universal Time),Sun Jan 21 2024 09:19:54 GMT+0000 (Coordinated Universal Time),Sun Jan 21 2024 09:19:54 GMT+0000 (Coordinated Universal Time),"<p id="""">Музей-заповедник П. И. Чайковского станет первым, кто откроет большой тур в рамках празднования 50-летия работы Владимира Федосеева в качестве художественного руководителя Большого симфонического оркестра имени П. И. Чайковского. Концерт запланирован на 10 февраля 2024 года.</p><p id="""">Тур пройдет в 15 городах России, предоставляя возможность зрителям по всей стране насладиться выступлениями БСО.</p><p><a href=""https://widget.telegreen.ru/tickets/tchaikovsky/0/0/10/0/128/0/0/isFrame:1;/widget4"">КУПИТЬ БИЛЕТ</a> </p><p id=""""><a href=""https://tass.ru/kultura/19764279"" id="""">подробности конференции ТАСС</a></p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65ab7f783654c86da05da198_photo_2024-01-19_13-00-24.jpg"" loading=""lazy"" width=""auto"" height=""auto"" alt="""" id=""""></div></figure><p id="""">‍</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65ab7f4a3654c86da05d8b17_photo_2024-01-19_13-00-28.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65ab7ef5d11769dede467110_photo_2024-01-18_17-23-14.jpg,true,Fri Jan 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
Чайковский отправился в космос,chaykovskiy-otpravilsya-v-kosmos,63e507244eda1e67644c7cf5,641339e6b48ab311c6a9c6d3,Thu Mar 16 2023 15:46:46 GMT+0000 (Coordinated Universal Time),Wed Apr 19 2023 11:48:58 GMT+0000 (Coordinated Universal Time),Wed Apr 19 2023 11:58:12 GMT+0000 (Coordinated Universal Time),"<h4 id="""">Фотографию Петра Ильича доставит на МКС космонавт Роскосмоса Андрей Федяев.<br></h4><p id="""">‍</p><p id="""">Музей-заповедник П. И. Чайковского в Клину поддерживает дружеские отношения со многими известными людьми и компаниями. Еще в прошлом году на концерте друг музея, художественный руководитель и главный дирижер Государственного академического Большого симфонического оркестра имени П.И. Чайковского Владимир Иванович Федосеев вместе с сотрудниками музея выбрал и подписал фотографию композитора. Копию снимка, сделанного во время гастролей в Гамбурге 9/21 января 1888 г. в фотоателье Э. Бибера, передали в Центр подготовки космонавтов Звездного городка.</p><p id=""""><strong id="""">Доставить фото Чайковского на МКС вызвался космонавт Роскосмоса Андрей Федяев</strong> — почитатель творчества композитора. Сегодня в 08:34:14 по московскому времени с площадки 39A Космического центра имени Кеннеди NASA в штате Флорида выполнен пуск ракеты-носителя Falcon-9 с пилотируемым кораблем Crew Dragon, которому предстоит доставить экипаж на Международную космическую станцию.</p><blockquote id="""">В составе экипажа: космонавт Госкорпорации «Роскосмос» Андрей Федяев, астронавты NASA Стивен Боуэн и Вуди Хобург, астронавт ОАЭ Султан аль-Нейади.</blockquote><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64133b5c259c480f7410266b_%D0%BE%D0%B1%D0%BB%D0%BE%D0%B6%D0%BA%D0%B0%20%D1%87%D0%B0%D0%B8%CC%86%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B8%CC%86.webp,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/641339daac88daa44b36c8ed_%D1%87%D0%B0%D0%B8%CC%86%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B8%CC%86%20%D0%B2%20%D0%BA%D0%BE%D1%81%D0%BC%D0%BE%D1%81%D0%B5.png,false,Thu Mar 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
